Timestamp,Participant ID,Briefly describe the experiment you just completed and what you were supposed to do.,Would you have benefitted from more or better instructions?,How familiar are you with this kind of game?,How enjoyable did you find this game?,How difficult did you find this game?,"Did you use a specific strategy for combining resources and items in this game? If so, please describe it.",Do you have any comments about the game or the experiment that you would like to share with the researchers?
9/28/2017 12:56:50,336,The task was extremely difficult. I kept trying combine two or three tools to make a new one.,"No, I understood what I was supposed to do.",2,3,6,I use maths method to arrange them by sequence.,
9/28/2017 12:57:53,337,I was suppose to make combinations of different resources to make new resources. Once I had those new resources made those could also be used to make new resources. The resources that were trying to be made were for building a totem pole. ,"No, I understood what I was supposed to do.",1,5,7,I tried to pair things that in real life i thought could be used to make something else.,It was surprisingly really fun. I would totally play again.
9/28/2017 12:58:10,338,The experiment is about a construction game and I was supposed to combine different resources to create new tools and construct.,"Yes, I was confused about the task.",1,1,6,Yes. I used methods of mathematics.,It is a really difficult and boring game.
9/28/2017 13:03:01,339,"I was supposed to generate new tools out of six basic resources provided, and use those tools to create a totem. The experiment is similar to the game Little Alchemist. ","No, I understood what I was supposed to do.",5,5,7,"I tried to rely on my personal understanding of natural resources and their relationships. After a while, I considered the possibility that the activity was not modeling a realistic situation, and started to try random combinations and doubling the amount of certain resources. ",Very interesting activity; I'm interested to see whether having a notepad to record attempted combinations would increase the rate at which the participant accumulates his/her score. 
10/2/2017 15:00:04,356,I was supposed to construct a totem pole using hypothetically-derived tools from starting materials.,"No, I understood what I was supposed to do.",7,4,7,"I tried combining each tool with each starting material, creating an axe using tools and starting materials, combining multiple tools and/or multiple starting materials with one-another, and so forth.",I wish I got further than the ancestor. It was a thought-provoking simulation.
10/3/2017 10:38:09,357,try to build a totem with raw material provided by forming tools and new material with the raw ones,"No, I understood what I was supposed to do.",3,5,5,I had a basic logic of trying to identify the functions of the tool gained and try to make use of it.,pretty interesting. like it
10/3/2017 11:29:46,358,We had to build a totem pole using combinations of resources that we had to figure out on our own,"No, I understood what I was supposed to do.",2,5,6,I would try to see what things worked in the past to create resources and mimic those combinations in terms of number and type of resource.,More time would be helpful if you wanted to see better end results since it took a while to get a good grasp on what we were asked to complete.
10/3/2017 11:30:13,360,You had to build a totem pole out of random objects.,"Yes, I was confused about the task.",2,4,5,Copy other people and hope for the best.,Maybe more hints otherwise you can't get much accomplished
10/3/2017 11:30:25,359,You were suppose to create a totem pole from combining materials provided for you.,"Yes, I was confused about the task.",3,1,4,I tried to find a pattern but was unable to identify one. ,This game can get frustrating when you can't figure out the correct combination for materials.
10/3/2017 11:30:59,361,We were assigned the task of finding combinations of basic resources to create more complex resources in order to build a totem pole.,"No, I understood what I was supposed to do.",5,3,5,I would take a signle resource and try every combination for that resource. If no other combination was found I did random combinations.,No
10/3/2017 12:29:53,363,"It was an online module in which we had to combine different tools and resources to create a totem pole.  The more resources we found or could figure out, the higher our score went.  It was a lot of trial and error, but also it helped to look at the previous ancestors work to get a starting point.","No, I understood what I was supposed to do.",1,4,4,"I tried to logically think about what the different resources would be or could be used for and then tried to combine them accordingly... Like with the sharp spear thing made from rock, I assumed it would carve things so I put it with the log, and it did.",No
10/3/2017 12:30:17,362,Match items given to try and make objects to make a totem pole ,"Yes, I was confused about the task.",1,1,7,I tried to combine all of the original resources and then combined them with what resources I made. When I couldn't think of any more combinations I put items together in a random order to try and find more matches. ,It was hard to know how long I was supposed to match these items for. 
10/3/2017 12:34:01,364,build a totem,"Yes, I was confused about the task.",2,1,7,,
10/5/2017 9:28:16,376,Build a totum using resources,"No, I understood what I was supposed to do.",2,1,7,Not really,It is very hard lol
10/5/2017 9:29:06,377,I was supposed to use materials to build a totem pole,"Yes, I was confused about the task.",2,2,6,Once I found the tools I couldnt build the totem,Very confusing or frustrating
10/9/2017 13:30:44,392,I had to use resources to make tools and then the tools to make more tools in order to build a totem pole,"No, I understood what I was supposed to do.",1,5,7,It was pretty random - the first time I didn't realize you were supposed to put the tools I had made into the stock but once i figured that out i was able to actually move forward (although rather slowly ),NA
10/9/2017 14:04:48,397,"We were pretending to be a part of a tribe that was working to build a totem pole and gain more favor with the gods. We were given 9 materials to start with, and by combining these materials in various ways we could create more materials to use in building our totem pole. Each new material that we created was worth 15 points, and these points added up to our total score at the end of each round.","No, I understood what I was supposed to do.",1,2,3,"Yes, I started by combining each material with itself, and then pairing it with each other object. If a combination worked, I would try to use that new material with the old material again. Other than that, I mostly tried random combinations that seemed like they could logically pair and create a new object.","It was interesting, I wish I were better at it!"
10/9/2017 14:28:43,400,I was apart of a tribe and needed to please the Gods by creating a totem pole. I had limited resources to create the totem pole and could use combinations of the resources to make other tools that helped me.,"No, I understood what I was supposed to do.",2,4,7,"I just thought of what would make sense to use in real life, like the ax i figured i would need some kind of branch along with a rock and something to secure that rock to the branch.",It was really frustrating at times.
10/9/2017 14:33:02,401,use raw materials to make totem. Make more tools to refine the totem wood,"No, I understood what I was supposed to do.",2,7,5,Think about how can our ancients exploit the nature ,n
10/10/2017 15:29:27,412,Build a totem pole through the building of different tools made from resources,"No, I understood what I was supposed to do.",2,3,6,No I randomly combined things until something worked.,I thought it was designed well
10/10/2017 15:30:48,413,Build a totem pole ,"No, I understood what I was supposed to do.",1,5,6,Trying ever possible combination ,it was dificult lol
10/10/2017 16:21:26,414,I had to create a totem pole using specific resources. ,"No, I understood what I was supposed to do.",1,2,6,I tried to do every combination at least once. Then I started combining materials that I made from combining others.,no.
10/11/2017 12:24:53,415,I had to use resources to create new items to make a Totem pole.,"No, I understood what I was supposed to do.",2,3,7,I tried to go one by one and combine one resource with each one at a time.,It was very hard!!
10/11/2017 12:55:23,416,combine given resources to make more resources and use those resources to build a totem fit for the gods,"No, I understood what I was supposed to do.",5,7,7,Just randomly combing things ,make the game public. I would love to play in my spare time
10/11/2017 13:24:35,419,"I was supposed to use a crafting menu to make an ""effective"" totem pole","No, I understood what I was supposed to do.",7,4,4,"Usually trial and error, most combinations (up until 1250 pts) were logical.",Axe + Large tree = ?  -> ? + carving stone = ? with hole.  It's a lil confusing.
10/12/2017 12:54:38,431,I just completed an experiment where I was asked to produce tools from various resources to build a totem pole. ,"Yes, I was confused about the task.",4,3,4,No. ,No. 
10/12/2017 12:56:41,430,"From a certain amount of resources given to you, you must put the resources in different combinations in order to make a new resource to build the totem pole. There are many different combinations you can use from the resources given to you and the ones you made. The purpose for this is to make the best totem pole with the best resources.","Yes, I was confused about the task.",1,2,6,I tried to pair each resource with a different resource at least once to test it out. ,"I was really confused about the game at first, then I kind of understood it, and then I went back to being confused."
10/13/2017 12:30:22,433,,"No, I understood what I was supposed to do.",2,3,5,I tried to use logic in order to create new resources.,
10/13/2017 12:32:55,434,make a totem pole,"Yes, I was confused about the task.",1,5,7,"Yes, I tried combining similar things that I found from the other items and then duplicates and so on to try to find new combinations.",
10/13/2017 12:34:33,435,"I was supposed to combine resources to make a tool. The more tools I made, the higher the score. ","Yes, I was confused about the task.",3,3,5,"Once I got 1 tool, I tried combining different resources in the same way. Most of the time, I just used random resources and guessed. ",No
10/16/2017 13:01:55,449,Build a totem pole using survival supplies. Had to use supplies and combine them together to make other supplies,"No, I understood what I was supposed to do.",1,3,7,"At first, no. Once I hit a block where I couldn't figure any combos out, I did trial and error.",
10/16/2017 13:03:59,450,It's kind of a experiment to create. You use the tools that already provided to build up new things until you create the totem.,"No, I understood what I was supposed to do.",3,4,6,No.,"I think its really hard, cause I tried to find some connections between things I have created, thought that it would provide ideas for creating new tool, but in the end I still couldn't figure out the strategy. Also that with the time goes by, it would become really exhausted and boring, like nothing will come up in the mind, and I just get so tired...Good luck!"
10/16/2017 13:22:57,452,i was given six resources at the beginning and had to combine certain ones to create new materials. Through dozens of combinations i had to create a totem pole.,"No, I understood what I was supposed to do.",4,1,7,I tried to combine things that would maybe go together in real life.,it made me feel dumb. haha
10/16/2017 13:32:39,455,Build a totem pole by making the supplies,"No, I understood what I was supposed to do.",3,3,7,I tried to put together combinations together that I would personally use if I were in that situation.,It was very frustrating.
10/16/2017 13:53:17,456,I was supposed to create tools to help me make a totem pole for my gods,"Yes, I was confused about the task.",1,1,7,I tried to combine resources that I thought would logically create something else,
10/16/2017 13:59:01,457,build a totem pole with the tools you were given,"No, I understood what I was supposed to do.",2,5,3,once you figure out a tool odds are it will create and open up many other options,yeah never figured out the paint which was sad
10/16/2017 14:00:05,458,Build a totem pole,"Yes, I was confused about the task.",1,5,7,no,no
10/16/2017 14:18:54,460,It can be frustrating.,"No, I understood what I was supposed to do.",4,4,6,Just keep trying.,no
10/16/2017 14:55:59,464,I was asked to build totem by making up different elements using some resources.,"No, I understood what I was supposed to do.",6,7,6,"At first, you just try every kind of combination because you know nothing about it. After that, it would be better if you use your common sense to guess what kind of combination may work. Sometimes some previous combinations may give hint.",It is really enjoyable.
10/17/2017 12:25:51,473,I was suppose to add combinations of materials to create items for my totem pole.,"Yes, I was confused about the task.",2,2,5,I tried to make certain items like the ax.,no
10/17/2017 14:32:48,476,We were supposed to create tools from objects and from those tools create a totem pole.,"No, I understood what I was supposed to do.",2,6,4,At first I was just randomly putting items together. Towards the end I started looking at other players items and seeing how they made them. I then copied their actions in order to make the same tools. This made creating my own tools easier because they gave me ideas and a place to start. ,N/A
10/17/2017 14:33:20,478,We had to try to make a totem by combining different resources that were available in our environment. We could see what other people in our tribe had made and how to make them. ,"No, I understood what I was supposed to do.",4,5,5,I just tried any possible combination I could think of.,Nope
10/17/2017 14:33:22,479,"Play a game that pretends that you are a part of a tribe trying to make a totem. use simple resources to create more complex resources. then, put the complex resources together to create tools. Utilize what other tribe members are doing to get ideas and to get your resources more advanced. ","No, I understood what I was supposed to do.",2,,,"No, just combining all different resources and different things together to try and make tools and new resources",
10/17/2017 14:35:54,477,"I need to use several tools to build a totem. The more refined the totem is, the higher the score I will get. I tried numerous combinations of tools and also checked others' results, and then I refined my totem.","No, I understood what I was supposed to do.",1,6,6,"First I just use one totem to try, then different two, then different three, four... And finally I tried using the same two tools to build.",This game is very interesting and can test my common knowledge of using tools.  Also team work is important that you can refer to what others built.
10/17/2017 15:19:39,480,To build up tools using raw materials,"Yes, I was confused about the task.",7,4,5,,It requires a wiki to play. Players will benefit from other people's experience.
10/17/2017 15:20:29,481,I was given material which I had to match together in certain sequence which would create tools. I could then take the tools created and put them together to make more tools. The end goal was create a totem pole.,"Yes, I was confused about the task.",2,5,5,"At first, I tried to attempt to use a strategy but there were too many resources to create a pattern so I tired to go randomly.",N/A
10/17/2017 15:20:32,482,Play a game called totem and work with and off other participants to increase our scores,"No, I understood what I was supposed to do.",2,2,6,If they liked like they could make something together then I tried those combinations first,I think that it took awhile for some participants to figure out that you could look at how the other players did it
10/17/2017 15:20:46,483,participated in a video game in which you had to make resource combinations to make tools to build a totem pole. ,"Yes, I was confused about the task.",1,1,6,At first i was using a method of trying every possible combination but that was yielding very few results. Only when i discovered that you can add tools to your stock did i start to make some progress. ,i discovered almost all of the tools from looking at what the other players had created. 
10/19/2017 12:51:30,496,build a totem pole using resources,"Yes, I was confused about the task.",1,2,7,no,hard
10/19/2017 12:52:14,497,We had to work as a team to make tools to build a totem pole.,"No, I understood what I was supposed to do.",2,1,4,"No, mostly random but once I saw that new tools created could be used I tried to use those more. ",
10/19/2017 12:53:03,498,Combine different resources in order to make new resources to try to build a totem.,"No, I understood what I was supposed to do.",2,5,7,Combining any combination of resources just to see if something would end up working.,No
10/19/2017 12:54:06,499,Work together as a team to build a totem pole for our tribe.  ,"No, I understood what I was supposed to do.",1,1,3,"I just watched my teammates, but I also tried to be strategic about the combinations I was trying to produce.  ",So was it based on the combinations? I was confused about how to get the right combinations? Maybe that was the point... 
10/19/2017 15:10:48,503,I was playing a game where I had to build a totem pole using my tribes resources. I was suppose to use those resources to create new resources so I could build the totem. ,"No, I understood what I was supposed to do.",2,7,6,I tried to combine my new resource with a old resource,None
10/19/2017 15:11:00,500,"Using the tools generated by trails and errors, and in order to build a totem.","Yes, I was confused about the task.",3,4,5,"Not really, but seems to be related to color, and the nature.",No.
10/19/2017 15:11:24,502,"Construct a totem pole by using various resources that you ""discover"" by combining and manipulating 6 resources that you begin with","No, I understood what I was supposed to do.",5,3,5,"I would say that my strategy, which was largely unsuccessful, was to try combinations of objects/resources that seemed to fit in some way.",n/a
10/19/2017 15:11:48,501,I was to create totems to worship a God with my surrounding items.,"No, I understood what I was supposed to do.",5,6,6,"Initially, I tried to combine each resource with each other resource, including those that I created myself, but eventually there were too many items, and I was trying to combine them repeatedly in the same ways to no avail.","I really would've liked to know the final combinations to make the totem. I wasn't able to create any part of it, which was very disappointing even though I had a good time. I just wish that I could have the solution.

This game reminded me of a computer game called Minecraft. I played it a lot as a kid, with my older brother."
10/19/2017 15:52:58,504,create a totem pole with tookls,"Yes, I was confused about the task.",1,1,7,yes,
10/19/2017 15:53:51,506,Combine tools to make a totem,"Yes, I was confused about the task.",1,1,7,,
10/19/2017 15:56:30,505,I was asked to use resources to build tools and eventually a totem pole in a computer game ,"Yes, I was confused about the task.",3,4,5,I just tried a bunch of random combinations,
10/19/2017 16:01:00,507,Build a totem pole with the given materials,"Yes, I was confused about the task.",1,2,6,tried to combine like pairs (i.e. berries w berries),n/a
10/19/2017 16:23:34,508,I had to make a totem with natural resources ,"Yes, I was confused about the task.",1,1,7,no I just guessed and check,nope
10/23/2017 12:54:45,520,Take basic materials and create a totem pole using the materials you were given.,"No, I understood what I was supposed to do.",5,6,5,"Trail and error, used a new ""tool"" and put it in the workshop with other items. I tried the ones that seemed the most realistic first and then tried all the other tools until I got a new one.","I was fun, just wanted to know how to get the highest score now that the experiment is over."
10/23/2017 12:55:09,521,I had to use the resources that were given in order to create new tools to try and create a totem pole,"Yes, I was confused about the task.",2,4,6,,
10/23/2017 12:58:07,522,Use the resources in my environment to build the best totem pole possible. ,"No, I understood what I was supposed to do.",2,3,3,No,No
10/23/2017 13:24:35,523,You were supposed to put together resources to create other resources to build a totem pole.,"No, I understood what I was supposed to do.",1,2,6,I kept one resource in the workshop and paired it with all the other resources that I had and repeated this process with every resource and every combination of resources that worked previously.,"It was hard, but not so much frustrating. I expected there to be clues or hints like most games do when you get stuck. I never create a totem pole, but it was an interesting game."
10/23/2017 13:35:28,525,combine original items to produce new items,"No, I understood what I was supposed to do.",2,5,3,,I want to know the exact answer
10/23/2017 13:57:22,527,I was supposed to try and build a totem pole using the tools I created from the resources given. ,"No, I understood what I was supposed to do.",1,4,6,I kind of just tried to match every resource together and then every tool and resource and then every tool and tool,"Now that I am done, I would like to know everything I could have made and how I could have made it. "
10/23/2017 14:05:51,529,I was supposed to use various resources to create new resources/tools to try and build the best totem possible.,"No, I understood what I was supposed to do.",5,4,5,"I basically tried trial and error most of the time. There were a few times that the new combinations were obvious (stick,rope, and stone carving tool), but a lot of the time, I found them by dumb luck.","Not really, it was pretty straight forward."
10/23/2017 14:23:17,530,Use resources to build a totem. ,"No, I understood what I was supposed to do.",1,3,5,no,
10/23/2017 14:46:31,531,Use the given resources to build a totem,"No, I understood what I was supposed to do.",2,2,6,Yes. I tried to make different combos but it seems don't work. ,"If participant is confused, can you give any hint like what material they need to build next."
10/23/2017 14:48:57,532,In this experiment I was suppose to use resources to create tool that would help me take a totem pole.,"No, I understood what I was supposed to do.",6,7,6,I did not use any specific strategy in this game.,No.
10/23/2017 14:50:20,533,combine different element to build totem,"No, I understood what I was supposed to do.",1,3,5,"imagine the exact background, try combinations in certain rule, not randomly",more tips ans help
10/23/2017 14:58:57,534,the goal of the experiment was to construct a totem pole using various resources to create tools. These tools and resources could be used in various combinations to achieve the desired result. ,"No, I understood what I was supposed to do.",3,4,5,"Once a tool was used once, such that it was transformed into something else, I did not bother using it anymore, as it's first form was just an intermediate step. Other than that I used random combinations, as the beginning tools that were created seemed to have no logic in their making.","The first day was particularly frustrating, but once a few key tools were made, the process began to speed up. Closure would be nice, as in finding out what the end product could have been, but I know that that probably won't happen."
10/24/2017 9:34:13,537,My goal was to build a totem pole and try to accumulate as many points as possible by building different objects and attempting to carve and paint my totem pole.,"No, I understood what I was supposed to do.",4,6,6,"I was able to see how the ancestor built his totem pole which gave me the basis for how to build the different logs and tools, but I was unable to figure out how to carve or paint the totem pole. I didn't really have a strategy, I just put different combinations together to see what would work. ",I think it was a fun and challenging game that really tests the participant to think hard about different things that might or might not work. 
10/24/2017 13:42:29,538,"i was given different resources and had to combine them in order to create new tools, and use them to create a totem pole. ","No, I understood what I was supposed to do.",2,3,6,"I first looked at all the tools made by my ancestor, then attempted to combine new tools with some of the unlimited resources, or tools together. I knew some tools had been used with certain resources, so i tried to use that to make more pairs, but wasn't successful. ",
10/24/2017 13:51:53,539,I was supposed to build as many tools as possible in a given time,"No, I understood what I was supposed to do.",1,2,6,I sometimes tried matching pairs of the same thing.,
10/24/2017 16:31:34,541,I was shown how to build one resource and then expected to use a bunch of resources to create a totem pole. ,"Yes, I was confused about the task.",1,2,6,My only strategy was using all of the possible combinations to determine if the resources made a product.,
10/24/2017 16:31:52,540,I was given a bunch of resources and was told to make as many resourses as possible so that we could in order to build a totem pole.,"No, I understood what I was supposed to do.",1,4,5,,
10/24/2017 16:31:52,543,use resources to build things,"Yes, I was confused about the task.",2,5,6,use basic knowledge and see other people's game,no
10/24/2017 16:32:14,542,it asks me to combine and use the tools to build. ,"No, I understood what I was supposed to do.",2,3,6,it may use some strategies in the life to combine sources.,
10/25/2017 9:32:46,544,build a totem pole,"No, I understood what I was supposed to do.",1,1,7,guess and check,More examples of materials to build
10/27/2017 15:44:10,555,I just worked with a team of three others to assemble a totem pole. We combined different items to progressively get different ones to build the totem pole with,"No, I understood what I was supposed to do.",6,5,7,I just randomly combined different items,No
10/27/2017 15:44:40,557,We had to build totem poles by figuring out how to combine the materials we were given or made,"No, I understood what I was supposed to do.",3,3,5,No i just tried to put a bunch of stuff together,no
10/27/2017 15:45:04,558,I had to combine different resources to make different tools to build a totem.,"No, I understood what I was supposed to do.",3,4,3,No I didn't,No
10/27/2017 15:45:46,556,I just worked together with three other players to try and create tools to build a totem by combining different resources together to create new objects.,"Yes, I was confused about the task.",4,4,5,"I was trying to use a rock to smash/cut things like the trees, logs, or berries. It didn't work really though. I was proud that I was the first person to figure out trying to combine multiple of the same item or multiple of new items. ",No.
10/30/2017 9:32:43,559,The goal of the experiment was to build a totem pole from limited resources to honor the gods.,"No, I understood what I was supposed to do.",2,4,6,I tried to imagine ways that the resources available to me would fit together. I also just copied exactly what my ancestors did before me. In the end I pretty much just started throwing as many things together as I could to come up with something.,
10/30/2017 9:38:53,560,Find different combinations of resources to form tools that would help build the totem.,"No, I understood what I was supposed to do.",5,4,5,Combining the new tools to all the possible resources to see if any one of them produced a new tool. ,
10/30/2017 10:31:35,562,I was supposed to combine materials to form new materials with the end goal of creating a totem pole.,"No, I understood what I was supposed to do.",2,1,7,I tried to think in real life what I would use to combine each of the resources to make.,No
10/30/2017 10:32:13,561,"Use trial and error as well as the ""ancestor"" information to build a totem pole","No, I understood what I was supposed to do.",7,6,4,"rocks and wood meant making logs, other than that it was random","I thought it was a fun experiment, was a unique way to test thinking strategies "
10/30/2017 11:31:58,563,build a totem pole using tools,"No, I understood what I was supposed to do.",4,4,4,mixing and matching ,none
10/30/2017 11:32:39,564,We had to combine an array of resources to make tools in order to construct a totem pole. ,"No, I understood what I was supposed to do.",1,4,5,I tested all of the possible combinationsfor each resource ,No
10/30/2017 11:32:41,565,i was suposed to use resources in order to build a totem pole,"No, I understood what I was supposed to do.",1,4,7,not really just tried to put together items that made sense,
10/30/2017 11:32:58,566,Build a pole by combining resources,"No, I understood what I was supposed to do.",4,6,7,It was mainly just random guessing.,
10/30/2017 12:45:53,568,use resources to build tools and tools to build a totem pole.,"No, I understood what I was supposed to do.",2,5,6,I tried to think about what i would need in real life to make something and went from there.,"Once i knew that you could combine tools and resources together, I felt like i was on a better track to success."
10/30/2017 13:25:34,569,We were given a set of resources and we had to figure out which combinations would lead to building the best totem.,"No, I understood what I was supposed to do.",6,6,6,"I tried to make as many different combinations as I could.  I also tried to think how I could use the new tools logically in the real world i.e. something sharp probably cuts something.  Once I found a new tool, I would try to combine it with all of the old resources and with any other tools I had.",
10/30/2017 13:59:09,570,Combine and simplify objects in order to create new objects in order to build a totem poll.,"No, I understood what I was supposed to do.",1,3,6,in the beginning it was easy to keep track of what you were combining and after that i didnt use a strategy,no
10/30/2017 14:03:49,571,"We were told in the experiment to use a set of given tools to make a totem pole. With this tools you were able to make more tools to make more logs about the totem poles. From those items that you created using the basic sets of tools, making more things were essential in completing the totem task. ","Yes, I was confused about the task.",4,6,6,I tried looking at patterns after having made certain ones that worked out and tried to double them and group things together. I tried to use the tools that were used more often such as the silver stone made out of the rocks or the tree twigs. ,"The game was fun when you were able to find things and put the pieces together but after a while when you weren't able to get anything done, it was a lot harder to like the game, because it was just frustrating. "
10/30/2017 16:33:09,574,Combine different resources using the tools given to you at the beginning to make a totem pole with the highest score that you could attain,"No, I understood what I was supposed to do.",5,6,2,Look at how the ancestor made things and then add things to the totem pole to make the score higher,"No, except I wish I knew at the end what the highest score possible was"
10/30/2017 16:35:24,575,I was required to build a totem pole using basic resources,"No, I understood what I was supposed to do.",5,6,6,"I tried to use logic to determine which elements may create another different, useful tool. Otherwise if I was stuck I used random combinations of tools",A few of the pictures were a bit non-intuitive and I still don't fully understand the progression of sharp stones and why some are more useful than others
10/31/2017 10:29:02,576,It was a team building task to build materials to eventually make a totem pole,"No, I understood what I was supposed to do.",2,4,6,I often looked at players for help with building resources they already built,
10/31/2017 10:30:02,577,"We were supposed to devise new tools for our tribe in order to survive. Our past methods were no longer effective, so we had to make new items based on what was in our environment. ","No, I understood what I was supposed to do.",1,1,6,I tried to think of items that one would need for survival. ,No
10/31/2017 10:30:37,578,"I was given a set of resources such as trees and rocks and had to figure out how to put them together in order to form more useful tools, with the main goal of creating a totem pole. ","Yes, I was confused about the task.",1,3,6,"It was very helpful to be able to see the process of the other players, because when I saw their score go up, I knew they had come up with combinations that I had not, and I could then use their resources to come up with more.",
10/31/2017 10:30:54,579,We were supposed to make tools and wood for a totem by combining certain materials,"Yes, I was confused about the task.",1,1,7,I tried multiple combinations of every material,
10/31/2017 13:38:51,581,I was supposed to build a totem pole out of tools made with the resourcesavailable to me,"Yes, I was confused about the task.",1,1,7,I used the ancestors tools as a guide to put my tools together,"I was very frustrated because the resources available to me were not the same that were available to the ancestor, so I couldn't make as many tools as the ancestor had made. I was very confused and frustrated because it was impossible to complete the game"
10/31/2017 13:39:54,580,"I was given raw materials and had to create more complex materials from them, then use those complex materials to create a totem pole. I was then supposed to modify the sections of my totem pole to be as intricate as possible in order to achieve a maximum score.","No, I understood what I was supposed to do.",4,6,5,"At first I used the previous players successes to catch up to where they were at, then tried to do intuitive combinations that I thought would yield results. Once those stopped working, I tried each individual item paired with one other item to try and test each possible permutation (this became less effective as I obtained more resources). I also occasionally tried using items by themselves which yielded results more often than I thought it would.",More entertaining than I thought it would be.
10/31/2017 13:43:45,582,"
we were supposed to build a totem poll based on how the ancestor had previously built it. ","No, I understood what I was supposed to do.",4,4,5,yes look at how to make them in the instructions and then save them. ,"
no"
11/1/2017 9:58:27,583,I had to you the resources provided to me to make tools that could then be used to create the best possible totem. ,"Yes, I was confused about the task.",3,5,6,Not necessarily. At first I combined what looked like might go together and when that didn't work I combined everything to see what I would get. ,nope!
11/1/2017 9:58:44,584,The experiment was looking at teamwork for building a totem poll. You were supposed to try to build a totem poll using the resources given. ,"No, I understood what I was supposed to do.",1,4,5,I first looked at the ancestors tools and used the combinations they used to build the same tools. Then I started taking the resources and combing them with the tools and went down the line for which tools to choose. ,
11/1/2017 12:31:18,585,I had to use resources to build tools by dragging them onto a conveyor belt and I had to experiment with different patterns to create the tools ,"Yes, I was confused about the task.",1,1,7,process of elimination ,The game was frustrating 
11/1/2017 15:08:10,587,"Supposed to build a totem pole out of resources, had an ancestor that had previously build things out of the resources","No, I understood what I was supposed to do.",2,3,6,Only materials I made were once my ancestors had made as well. ,It was hard 
11/1/2017 15:09:30,586,I was given basic things found in nature and I was told to build a totem pole and those basic tools with it. ,"No, I understood what I was supposed to do.",1,7,6,"At first I was very confused, but once I began to combine a few and I saw how it worked, it was a matter of systematically combining more things to find a solution to the problem. ",When something combined correctly it was kind of fun. 
11/2/2017 10:41:56,588,"Use natural resources provided to make tools out of them, or essentially figure out how the resources go together to make things.","No, I understood what I was supposed to do.",3,5,5,"Yea, I tried doing doubles of things, but they didn't work. I also knew that if one combo worked the other could too, just like the hammer and tree 1 and hammer and tree 2.",How do you really build/carve the totem?
11/2/2017 10:42:29,589,A tool building task. i think it was impossible.,"No, I understood what I was supposed to do.",1,3,6,No. I copied the ancestor.,No.
11/2/2017 10:44:08,590,I was supposed to make a totem pole on a computer program,"No, I understood what I was supposed to do.",3,5,5,I was just doing random things mostly and would look at the ancestors findings.,"No, I was just mad I couldn't figure out how to make the paint for the totem pole."
11/3/2017 10:03:03,591,"In this experiment, we played a computer game to try to complete a totem pole.  We were given a select number of unlimited resources and had to figure out combinations of these to make new tools.  We were able to use what the group before us did and we had to keep adding to the already discovered tools.","No, I understood what I was supposed to do.",3,5,5,"I didn't really use any strategies, I mostly tried to think about what would be needed and worked my way through the potential options to build these.",
11/3/2017 10:03:07,592,Combine resources and form new resources to build a totem,"Yes, I was confused about the task.",3,3,6,"Using the ancestors' list of sources and how to build them was very helpful, so I used that to build the same materials. ",You definitely need a team to figure out how to make a totem just like how the older civilizations did back in the day.
11/3/2017 10:03:46,593,build a totem pole utilizing the resources provided,"Yes, I was confused about the task.",3,3,7,Used reason (didn't get me far),It was hard
11/3/2017 14:35:58,595,I tried to create the most complex totem pole by building upon basic resources.,"No, I understood what I was supposed to do.",1,4,5,"At first, I randomly combined resources, but then I used logic to create different pieces of wood with different types of rocks.",No
11/3/2017 14:37:44,596,I used the resources and ancestor knowledge to build tools and create the best possible totem pole.,"No, I understood what I was supposed to do.",5,3,5,"First I looked at what the ancestor did and went off of that, figuring that since some of the tools he made weren't used yet that they must have some usage. Then it was mostly guessing and making new combinations until I got the logs.",No
11/3/2017 14:38:08,594,We were supposed to build things using tools and materials to build a totem. ,"No, I understood what I was supposed to do.",5,5,5,"Initially used recipes from the ancestor, then experimented to find my own",
11/3/2017 16:07:05,598,I had to combine elements to make new elements and add them to a totem pole.,"No, I understood what I was supposed to do.",4,3,5,I used all the ancestors tools and tried to use the powdered fruits to make paint because they were colorful to no avail.,more elements?
11/3/2017 16:13:31,604,combine items to make a totem,"No, I understood what I was supposed to do.",5,6,2,logical combinations,its pretty cool
11/3/2017 16:15:36,605,I had to craft different items in order to build and decorate a totem pole.,"Yes, I was confused about the task.",1,2,7,No I did not,It is very difficult!
11/6/2017 10:01:36,606,Building a totem pole out of resources that i had to make ,"No, I understood what I was supposed to do.",4,4,5,Thinking about what would make logical sense to combine ,
11/6/2017 10:02:35,607,In the experiment I was supposed to use the given resources to create new tools.,"No, I understood what I was supposed to do.",1,4,5,I used trial and error as a strategy for combining resources. ,
11/6/2017 10:02:36,608,I just worked to create tools out of various objects in order to construct a totem poll. ,"Yes, I was confused about the task.",1,4,6,"Not really, I used the ancestor guide to help me though. ",Nope
11/6/2017 11:08:46,609,I had a certain amount of resources at my disposal to build a totem pole.,"Yes, I was confused about the task.",1,4,7,I tried to combine the logs together with the lasso to create a totem pole but that did not work.,"The instructions seemed vague and after I was done with them, I was unable to figure out the rest of it."
11/6/2017 12:35:50,611,I was supposed to use my given resources to make new resources to add to my totem ,"No, I understood what I was supposed to do.",1,5,6,N/A,N/A
11/6/2017 12:35:53,612,We were supposed to combine different things in order to keep getting new materials to build a totem pole,"No, I understood what I was supposed to do.",3,5,6,I tried things that would break something down or build something up,It was very interesting and fun to see what things were combined together to make something else
